GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doxia :: Core,org.apache.maven.doxia.sink,AbstractXmlSinkFactory,0,3,0,0,0,1,0,1,0,1
Doxia :: Core,org.apache.maven.doxia.parser.manager,ParserManager,4,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.parser.manager,DefaultParserManager,25,0,2,0,5,0,3,0,2,0
Doxia :: Core,org.apache.maven.doxia.parser.manager,ParserNotFoundException,13,0,0,0,6,0,3,0,3,0
Doxia :: Core,org.apache.maven.doxia.macro.snippet,SnippetReader,2,175,3,23,0,43,3,19,0,9
Doxia :: Core,org.apache.maven.doxia.macro.snippet,SnippetMacro,77,222,10,16,15,51,10,15,1,11
Doxia :: Core,org.apache.maven.doxia.parser,XhtmlBaseParser,129,1370,36,218,28,325,29,133,3,32
Doxia :: Core,org.apache.maven.doxia.parser,AbstractTextParser,5,0,0,0,2,0,2,0,2,0
Doxia :: Core,org.apache.maven.doxia.parser,AbstractXmlParser.CachedFileEntityResolver,316,5,20,0,60,1,14,1,4,1
Doxia :: Core,org.apache.maven.doxia.parser,ParseException,96,0,4,0,24,0,14,0,12,0
Doxia :: Core,org.apache.maven.doxia.parser,AbstractParser,58,53,3,3,17,19,8,8,6,7
Doxia :: Core,org.apache.maven.doxia.parser,AbstractXmlParser,184,407,26,52,42,110,29,35,7,18
Doxia :: Core,org.apache.maven.doxia.parser,Parser,4,0,0,0,1,0,1,0,1,0
Doxia :: Core,org.apache.maven.doxia.macro.manager,MacroNotFoundException,9,4,0,0,4,2,2,1,2,1
Doxia :: Core,org.apache.maven.doxia.macro.manager,MacroManager,0,4,0,0,0,1,0,1,0,1
Doxia :: Core,org.apache.maven.doxia.macro.manager,DefaultMacroManager,0,25,0,2,0,5,0,3,0,2
Doxia :: Core,org.apache.maven.doxia.index,IndexingSink,48,134,2,3,24,46,12,16,10,15
Doxia :: Core,org.apache.maven.doxia.index,IndexEntry,88,152,13,13,21,42,12,18,4,13
Doxia :: Core,org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Reader,646,2651,111,221,123,543,97,104,16,19
Doxia :: Core,org.apache.maven.doxia.document.io.xpp3,DocumentXpp3Writer,74,1302,92,98,15,218,92,16,1,12
Doxia :: Core,org.apache.maven.doxia.util,ByLineReaderSource,34,68,5,7,12,23,5,8,2,5
Doxia :: Core,org.apache.maven.doxia.util,LineBreaker,171,0,20,0,52,0,20,0,9,0
Doxia :: Core,org.apache.maven.doxia.util,DoxiaUtils,48,360,8,86,13,55,7,52,1,11
Doxia :: Core,org.apache.maven.doxia.util,HtmlTools,22,809,9,60,5,99,9,41,0,14
Doxia :: Core,org.apache.maven.doxia.util,XmlValidator.MessagesErrorHandler,138,0,10,0,40,0,13,0,7,0
Doxia :: Core,org.apache.maven.doxia.util,XmlValidator,142,0,12,0,33,0,11,0,5,0
Doxia :: Core,org.apache.maven.doxia.sink.render,RenderingContext,56,71,1,1,12,16,9,3,8,3
Doxia :: Core,org.apache.maven.doxia.macro.toc,TocMacro,34,213,8,22,4,53,8,11,0,4
Doxia :: Core,org.apache.maven.doxia.document,DocumentMeta,264,1419,165,119,33,273,139,66,4,59
Doxia :: Core,org.apache.maven.doxia.document,DocumentAuthor,131,774,100,62,6,144,82,34,1,34
Doxia :: Core,org.apache.maven.doxia.document,DocumentHyperlinkBehaviour,10,77,8,6,2,19,7,6,0,6
Doxia :: Core,org.apache.maven.doxia.document,DocumentTOC,31,174,16,14,8,37,17,10,3,9
Doxia :: Core,org.apache.maven.doxia.document,DocumentCover,131,651,84,54,16,123,69,32,2,30
Doxia :: Core,org.apache.maven.doxia.document,DocumentModel,26,236,25,19,1,50,21,15,0,14
Doxia :: Core,org.apache.maven.doxia.document,DocumentTOCItem,48,217,23,19,10,44,24,11,4,10
Doxia :: Core,org.apache.maven.doxia.document,DocumentTemplate,30,237,26,20,3,47,22,14,0,13
Doxia :: Core,org.apache.maven.doxia.document,DocumentStatistic,18,738,30,30,2,149,30,32,0,32
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup,0,219,0,0,0,91,0,1,0,1
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,HtmlMarkup.new HTML.Tag() {...},0,5,0,0,0,2,0,2,0,2
Doxia :: Core,org.apache.maven.doxia.markup,Markup,0,4,0,0,0,1,0,1,0,1
